spec_code,semester_no,course_code,name_vi,name_en,credits,is_mandatory,prerequisites
GEN,1,CSC00004,Nhập môn Công nghệ thông tin,Introduction to Information Technology,4,TRUE,
GEN,1,CSC10012,Cơ sở lập trình,Programming Fundamentals,4,TRUE,
GEN,1,MTH00009,Toán rời rạc,Discrete Mathematics,4,TRUE,
GEN,1,CSC10121,Kỹ năng mềm,Soft Skills,3,TRUE,
GEN,2,CSC10004,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,4,TRUE,CSC10012
GEN,2,MTH00058,Toán học tổ hợp,Combinatorics,4,TRUE,MTH00009
GEN,2,PHY00005,Vật lý đại cương 1,General Physics 1,4,FALSE,
GEN,2,BAA00004,Pháp luật đại cương,General Law,3,FALSE,
GEN,3,CSC10003,Phương pháp lập trình hướng đối tượng,Object-Oriented Programming Methodology,4,TRUE,CSC10004
GEN,3,CSC10009,Hệ thống máy tính,Computer Systems,2,TRUE,CSC00004
GEN,3,MTH00005,Vi tích phân 1,Calculus 1,4,TRUE,
GEN,3,MTH00008,Đại số tuyến tính,Linear Algebra,4,TRUE,
GEN,4,CSC10014,Tư duy tính toán,Computational Thinking,4,TRUE,CSC10004;MTH00009
GEN,4,CSC10008,Mạng máy tính,Computer Networks,4,TRUE,CSC10009
GEN,4,MTH00006,Vi tích phân 2,Calculus 2,4,TRUE,MTH00005
GEN,4,BAA00005,Kinh tế đại cương,General Economics,2,FALSE,
GEN,4,BAA00021,Thể dục 1,Physical Education 1,2,FALSE,
GEN,4,BAA00030,Giáo dục quốc phòng,National Defense Education,4,FALSE,
GEN,5,CSC10006,Cơ sở dữ liệu,Databases,4,TRUE,CSC10004
GEN,5,CSC10007,Hệ điều hành,Operating Systems,4,TRUE,CSC10009
GEN,5,MTH00007,Xác suất thống kê,Probability and Statistics,4,TRUE,MTH00005
GEN,5,BAA00022,Thể dục 2,Physical Education 2,2,FALSE,BAA00021
GEN,6,PHY00007,Vật lý cho Công nghệ thông tin,Physics for Information Technology,4,FALSE,PHY00005
GEN,6,CSC14003,Cơ sở trí tuệ nhân tạo,Fundamentals of Artificial Intelligence,4,TRUE,CSC10003;MTH00007
GEN,6,MTH00057,Toán ứng dụng và thống kê cho Công nghệ thông tin,Applied Mathematics and Statistics for IT,4,TRUE,MTH00007;MTH00008
GEN,6,BAA00003,Tư tưởng Hồ Chí Minh,Ho Chi Minh Ideology,2,FALSE,
CN,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
CN,7,CSC11004,Mạng máy tính nâng cao,Advanced Computer Networks,4,TRUE,
CN,7,CSC15005,Nhập môn mã hóa – mật mã,Introduction to Cryptography,4,TRUE,
CN,7,CSC14005,Nhập môn học máy,Introduction to Machine Learning,4,TRUE,
CN,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
CN,8,CSC11003,Lập trình mạng,Network Programming,4,TRUE,
CN,8,CSC15002,Bảo mật cơ sở dữ liệu,Database Security,4,TRUE,
CN,8,CSC11006,Nhập môn điện toán đám mây,Introduction to Cloud Computing,4,TRUE,
CN,8,CSC11007,Nhập môn DevOps,Introduction to DevOps,4,TRUE,
CN,8,CSC15003,Mã hóa ứng dụng,Applied Cryptography,4,TRUE,
CN,8,CSC11115,An ninh mạng,Network Security,4,TRUE,
CN,8,CSC11120,Bảo mật web và thiết bị di động,Web and Mobile Device Security,4,TRUE,
CN,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
CN,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
CN,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
CN,9,CSC15001,An ninh máy tính,Computer Security,4,TRUE,
CN,9,CSC11002,Hệ thống viễn thông,Telecommunication Systems,4,TRUE,
CN,9,CSC11116,DevOps nâng cao,Advanced DevOps,4,TRUE,
CN,9,CSC11118,Triển khai và vận hành điện toán đám mây,Cloud Computing Deployment and Operations,4,TRUE,
IS,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
IS,7,CSC12002,Cơ sở dữ liệu nâng cao,Advanced Databases,4,TRUE,
IS,7,CSC12003,Hệ quản trị cơ sở dữ liệu,Database Management Systems,4,TRUE,
IS,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
IS,8,CSC12001,An toàn và bảo mật dữ liệu trong hệ thống thông tin,Data Security and Privacy in Information Systems,4,TRUE,
IS,8,CSC12004,Phân tích thiết kế hệ thống thông tin,Information Systems Analysis and Design,4,TRUE,
IS,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,
IS,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
IS,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
IS,9,CSC12105,Thương mại điện tử,E-commerce,4,TRUE,
IS,9,CSC12106,Tương tác người – máy,Human-Computer Interaction,4,TRUE,
SE,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,CSC10003
SE,7,CSC13008,Phát triển ứng dụng web,Web Application Development,4,TRUE,CSC10003;CSC10006
SE,7,CSC13102,Lập trình ứng dụng Java,Java Application Programming,4,TRUE,CSC10003
SE,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
SE,8,CSC13005,Phân tích và quản lý yêu cầu phần mềm,Software Requirements Analysis and Management,4,TRUE,CSC13002
SE,8,CSC13009,Phát triển phần mềm cho thiết bị di động,Mobile Software Development,4,TRUE,CSC10003;CSC13002
SE,8,CSC13001,Lập trình Windows,Windows Programming,4,TRUE,CSC10003
SE,8,CSC13010,Thiết kế phần mềm,Software Design,4,TRUE,CSC13002;CSC10003
SE,8,BAA00102,Kinh tế chính trị Mác - Lênin,Marxist-Leninist Political Economy,2,FALSE,BAA00101
SE,9,CSC10103,Khởi nghiệp,Entrepreneurship,3,TRUE,
SE,9,CSC10107,Thực tập thực tế,Practical Internship,4,TRUE,
SE,9,CSC13003,Kiểm thử phần mềm,Software Testing,4,TRUE,CSC13002;CSC13010
SE,9,CSC13006,Quản lý dự án phần mềm,Software Project Management,4,TRUE,CSC13002
SE,9,CSC13106,Kiến trúc phần mềm,Software Architecture,4,TRUE,CSC13002;CSC13010
SE,9,CSC13112,Thiết kế giao diện,Interface Design,4,TRUE,CSC13002;CSC10003
CS,7,CSC13002,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,4,TRUE,
CS,7,CSC14004,Khai thác dữ liệu và ứng dụng,Data Mining and Applications,4,TRUE,
CS,7,CSC14005,Nhập môn học máy,Introduction to Machine Learning,4,TRUE,
CS,7,BAA00101,Triết học Mác - Lênin,Marxist-Leninist Philosophy,3,FALSE,
CS,8,CSC10108,Trực quan hóa dữ liệu,Data Visualization,4,TRUE,
CS,8,CSC14006,Nhận dạng,Pattern Recognition,4,TRUE,
CS,8,CSC14008,Phương pháp nghiên cứu khoa học,Scientific Research Methods,4,TRUE,
