term_code,course_code,section_code,section_type,day_of_week,start_time,end_time,room,capacity
2026.1,CSC13010,01,LT,Mon,07:30,11:10,I.11,60
2026.1,CSC13010,01,TH,Wed,13:30,15:30,TH.01,60
2026.1,CSC13010,02,LT,Mon,07:30,11:10,I.12,60
2026.1,CSC13010,02,TH,Thu,13:30,15:30,TH.02,60
2026.1,CSC13010,03,LT,Mon,07:30,11:10,I.13,60
2026.1,CSC13010,03,TH,Fri,13:30,15:30,TH.03,60
2026.1,CSC13005,01,LT,Mon,07:30,11:10,E.201,60
2026.1,CSC13005,01,TH,Wed,15:30,17:30,LAB.A,60
2026.1,CSC13005,02,LT,Fri,13:30,17:10,E.202,60
2026.1,CSC13005,02,TH,Sat,07:30,09:30,LAB.B,60
2026.1,CSC13005,03,LT,Thu,13:30,17:10,C.201,60
2026.1,CSC13005,03,TH,Sat,09:30,11:30,TH.04,60
2026.1,CSC13009,01,LT,Mon,07:30,11:10,C.202,60
2026.1,CSC13009,01,TH,Tue,13:30,15:30,LAB.A,60
2026.1,CSC13009,02,LT,Mon,07:30,11:10,F.102,60
2026.1,CSC13009,02,TH,Tue,15:30,17:30,LAB.B,60
2026.1,CSC13009,03,LT,Mon,07:30,11:10,E.201,60
2026.1,CSC13009,03,TH,Sat,13:30,15:30,TH.01,60
2026.1,BAA00102,01,LT,Sat,07:30,11:10,C.201,60
2026.1,BAA00102,01,TH,Sat,13:30,15:30,TH.04,60
2026.1,BAA00102,02,LT,Sat,13:30,17:10,C.202,60
2026.1,BAA00102,02,TH,Fri,15:30,17:30,LAB.A,60
2026.1,CSC10004,01,LT,Tue,07:30,11:10,I.11,60
2026.1,CSC10004,01,TH,Wed,13:30,15:30,TH.01,40
2026.1,CSC10004,02,LT,Tue,13:30,17:10,I.12,60
2026.1,CSC10004,02,TH,Thu,13:30,15:30,TH.02,40
2026.1,CSC10004,03,LT,Wed,07:30,11:10,I.13,60
2026.1,CSC10004,03,TH,Fri,13:30,15:30,TH.03,40
2026.1,MTH00058,01,LT,Tue,13:30,17:10,I.12,60
2026.1,MTH00058,01,TH,Thu,13:30,15:30,TH.02,40
2026.1,MTH00058,02,LT,Wed,07:30,11:10,I.13,60
2026.1,MTH00058,02,TH,Fri,13:30,15:30,TH.03,40
2026.1,PHY00005,01,LT,Wed,07:30,11:10,I.13,60
2026.1,PHY00005,01,TH,Fri,13:30,15:30,TH.03,40
2026.1,PHY00005,02,LT,Wed,13:30,17:10,E.201,60
2026.1,PHY00005,02,TH,Sat,13:30,15:30,TH.04,40
2026.1,BAA00004,01,LT,Wed,13:30,17:10,E.201,60
2026.1,BAA00004,01,TH,Sat,13:30,15:30,TH.04,40
2026.1,BAA00004,02,LT,Thu,07:30,11:10,E.202,60
2026.1,BAA00004,02,TH,Tue,15:30,17:30,LAB.A,40
2026.1,CSC10006,01,LT,Thu,07:30,11:10,E.202,60
2026.1,CSC10006,01,TH,Tue,15:30,17:30,LAB.A,40
2026.1,CSC10006,02,LT,Thu,13:30,17:10,C.201,60
2026.1,CSC10006,02,TH,Wed,15:30,17:30,LAB.B,40
2026.1,CSC10006,03,LT,Fri,07:30,11:10,C.202,60
2026.1,CSC10006,03,TH,Thu,15:30,17:30,TH.01,40
2026.1,CSC10007,01,LT,Thu,13:30,17:10,C.201,60
2026.1,CSC10007,01,TH,Wed,15:30,17:30,LAB.B,40
2026.1,CSC10007,02,LT,Fri,07:30,11:10,C.202,60
2026.1,CSC10007,02,TH,Thu,15:30,17:30,TH.01,40
2026.1,MTH00007,01,LT,Fri,07:30,11:10,C.202,60
2026.1,MTH00007,01,TH,Thu,15:30,17:30,TH.01,40
2026.1,MTH00007,02,LT,Fri,13:30,17:10,F.102,60
2026.1,MTH00007,02,TH,Wed,07:30,09:30,TH.02,40
2026.1,BAA00022,01,LT,Fri,13:30,17:10,F.102,60
2026.1,BAA00022,01,TH,Wed,07:30,09:30,TH.02,40
2026.1,BAA00022,02,LT,Sat,07:30,11:10,I.11,60
2026.1,BAA00022,02,TH,Thu,07:30,09:30,TH.03,40
