STT,Mã học phần,Tên học phần,Số tín chỉ (Credits)
# ============================================================
# 8.1 Khối kiến thức giáo dục đại cương và các học phần thuộc kiến thức cơ sở ngành
# (Từ học kỳ 1 đến học kỳ 6)
# ============================================================
# --- Học kỳ 1 ---
1,CSC00004,"Nhập môn Công nghệ thông tin (Introduction to Information Technology)",4
2,CSC10012,"Cơ sở lập trình (Programming Fundamentals)",4
3,MTH00009,"Toán rời rạc (Discrete Mathematics)",4
4,CSC10121,"Kỹ năng mềm (Soft Skills)",3
# --- Học kỳ 2 ---
1,CSC10004,"Cấu trúc dữ liệu và giải thuật (Data Structures and Algorithms)",4
2,MTH00058,"Toán học tổ hợp (Combinatorics)",4
3,PHY00005,"Vật lý đại cương 1 (General Physics 1)",4
4,BAA00004,"Pháp luật đại cương (General Law)",3
# --- Học kỳ 3 ---
1,CSC10003,"Phương pháp lập trình hướng đối tượng (Object-Oriented Programming Methodology)",4
2,CSC10009,"Hệ thống máy tính (Computer Systems)",2
3,MTH00005,"Vi tích phân 1 (Calculus 1)",4
4,MTH00008,"Đại số tuyến tính (Linear Algebra)",4
# --- Học kỳ 4 ---
1,CSC10014,"Tư duy tính toán (Computational Thinking)",4
2,CSC10008,"Mạng máy tính (Computer Networks)",4
3,MTH00006,"Vi tích phân 2 (Calculus 2)",4
4,BAA00005,"Kinh tế đại cương (General Economics)",2
5,BAA00021,"Thể dục 1 (Physical Education 1)",2
6,BAA00030,"Giáo dục quốc phòng (National Defense Education)",4
# --- Học kỳ 5 ---
1,CSC10006,"Cơ sở dữ liệu (Databases)",4
2,CSC10007,"Hệ điều hành (Operating Systems)",4
3,MTH00007,"Xác suất thống kê (Probability and Statistics)",4
4,BAA00022,"Thể dục 2 (Physical Education 2)",2
# --- Học kỳ 6 ---
1,PHY00007,"Vật lý cho Công nghệ thông tin (Physics for Information Technology)",4
2,CSC14003,"Cơ sở trí tuệ nhân tạo (Fundamentals of Artificial Intelligence)",4
3,MTH00057,"Toán ứng dụng và thống kê cho Công nghệ thông tin (Applied Mathematics and Statistics for IT)",4
4,BAA00003,"Tư tưởng Hồ Chí Minh (Ho Chi Minh Ideology)",2

# ============================================================
# 8.2 Từ học kỳ 7 đến học kỳ 12 — Kiến thức chuyên ngành và tốt nghiệp
# ============================================================

# >>> CHUYÊN NGÀNH: Mạng máy tính và Viễn thông (Computer Networks and Telecommunications)
# --- Học kỳ 7 ---
1,CSC13002,"Nhập môn công nghệ phần mềm (Introduction to Software Engineering)",4
2,CSC11004,"Mạng máy tính nâng cao (Advanced Computer Networks)",4
3,CSC15005,"Nhập môn mã hóa – mật mã (Introduction to Cryptography)",4
4,CSC14005,"Nhập môn học máy (Introduction to Machine Learning)",4
5,BAA00101,"Triết học Mác - Lênin (Marxist-Leninist Philosophy)",3
# --- Học kỳ 8 ---
1,CSC11003,"Lập trình mạng (Network Programming)",4
2,CSC15002,"Bảo mật cơ sở dữ liệu (Database Security)",4
3,CSC11006,"Nhập môn điện toán đám mây (Introduction to Cloud Computing)",4
4,CSC11007,"Nhập môn DevOps (Introduction to DevOps)",4
5,CSC15003,"Mã hóa ứng dụng (Applied Cryptography)",4
6,CSC11115,"An ninh mạng (Network Security)",4
7,CSC11120,"Bảo mật web và thiết bị di động (Web and Mobile Device Security)",4
8,BAA00102,"Kinh tế chính trị Mác - Lênin (Marxist-Leninist Political Economy)",2
# --- Học kỳ 9 ---
1,CSC10103,"Khởi nghiệp (Entrepreneurship)",3
2,CSC10107,"Thực tập thực tế (Practical Internship)",4
3,CSC15001,"An ninh máy tính (Computer Security)",4
4,CSC11002,"Hệ thống viễn thông (Telecommunication Systems)",4
5,CSC11116,"DevOps nâng cao (Advanced DevOps)",4
6,CSC11118,"Triển khai và vận hành điện toán đám mây (Cloud Computing Deployment and Operations)",4
# --- Học kỳ 10 ---
1,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
2,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
3,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
4,CSC11112,"Chuyên đề Hệ thống phân tán (Topics in Distributed Systems)",4
5,CSC15010,"Blockchain và ứng dụng (Blockchain and Applications)",4
6,CSC11117,"Hệ điều hành Linux và ứng dụng (Linux Operating Systems and Applications)",4
7,BAA00103,"Chủ nghĩa xã hội khoa học (Scientific Socialism)",2
# --- Học kỳ 11 ---
1,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
2,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
3,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
4,CSC11119,"Chuyên đề phân tích mạng (Topics in Network Analysis)",4
5,CSC11106,"Truyền thông không dây (Wireless Communications)",4
6,BAA00104,"Lịch sử Đảng Cộng sản Việt Nam (History of the Communist Party of Vietnam)",2
# --- Học kỳ 12 ---
1,CSC10251,"Khóa luận tốt nghiệp (Graduation Thesis)",10
2,CSC10252,"Thực tập tốt nghiệp (Graduation Internship)",10
3,CSC10204,"Thực tập dự án tốt nghiệp (Graduation Project Internship)",6
4,CSC11111,"Chuyên đề tốt nghiệp Mạng máy tính (Graduation Topics in Computer Networks)",4
5,CSC15010,"Blockchain và ứng dụng (Blockchain and Applications)",4

